id,name,price,category,image
AB0120,Espejo Redondo Portátil Bl-Es3876 Bloomshell,21000,Accesorios,images/AB0120.jpg
AB0121,Llavero Portacosmeticos Bloomshell Bloom Bl..,20000,Accesorios,images/AB0121.jpg
AB0125,Bloom Encrespador Fresa Rizada Bl-E04 Bloom..,16000,Accesorios,images/AB0125.jpg
AB0126,Bloom Encrespador Amor En Rizos Bl-E03 Bloo..,16000,Accesorios,images/AB0126.jpg
AB0127,Bloom Encrespador Mariposa Bl-E05 Bloomshell,16000,Accesorios,images/AB0127.jpg
AB0128,Encrespador Mini Bloom Curl Bloomshell Bles..,9500,Accesorios,images/AB0128.jpg
AB0130,Bloom Encrespador Flower Bl-E02 Bloomshell,16000,Accesorios,images/AB0130.jpg
AB0131,Bloom Encrespador Luxe Curl Bl-E01 Bloomshell,16000,Accesorios,images/AB0131.jpg
AB0132,Bloom Encrespador Purple Curl Bl-Es2925 Blo..,16000,Accesorios,images/AB0132.jpg
AB0152,Limpiador Facial Blooms Mini Fresh Bl-Ph005..,20000,Accesorios,images/AB0152.jpg
AB0156,Tijeras Para Perfilar Cejas Bl-P2800 Bloom..,8000,Accesorios,images/AB0156.jpg
AB0157,Aplicador Desechable De Labios X25 Bloomshe..,6300,Accesorios,images/AB0157.jpg
AB0159,Cosmetiquera Soft Pink Bloomshell Bl-Ls007,22400,Accesorios,images/AB0159.jpg
AB0160,Cosmetiquera Bomb Bag Acolchada Bloomshell,17000,Accesorios,images/AB0160.jpg
AB0161,Cosmetiquera Bloom Pearl Bloomshell,20000,Accesorios,images/AB0161.jpg
AB0162,Encrespador De Pestañas Bloom Amore Curl B..,12000,Accesorios,images/AB0162.jpg
AB0163,Encrespador De Pestañas Bloom Black Curl B..,12000,Accesorios,images/AB0163.jpg
040205,Kit Coral 18Pcs K12 Atenea,67500,Brochas y aplicadores,images/040205.jpg
04021I,Kit Dreamland X 6 Pcs K13 Atenea,100200,Brochas y aplicadores,images/04021I.jpg
04022W,F09 Z White Queen Gota Iluminador - Baking ..,16600,Brochas y aplicadores,images/04022W.jpg
04023E,F14 Z White Queen Plana Parpado Ppal Atenea,9800,Brochas y aplicadores,images/04023E.jpg
04023G,F15 Z White Queen Plana Parpado Glitter Pig..,,Brochas y aplicadores,images/04023G.jpg
04028I,Db11 Duo Glam 11 Brocha Difuminadora Corte ..,14800,Brochas y aplicadores,images/04028I.jpg
